time,precip1,precip2,precip3,Precip4
2015-07-01,1.714515,3.826151,5.19897,5.129471
2015-08-01,0.1595335,0.152626,1.251901,2.355269
2015-09-01,0.09915115,0.06090322,0.5138361,1.042597
2015-10-01,0.1088579,0.03277681,0.3720989,0.6642259
2015-11-01,0.1047942,0.0001339999,0.0174746,0.09853518
2015-12-01,0.8113942,0.9082354,1.963559,0.8333865
2016-01-01,3.489827,5.630919,5.181415,4.191865
2016-02-01,4.680772,1.891667,1.483347,0.8546043
2016-03-01,3.721397,3.722447,2.556291,1.227472
2016-04-01,9.461361,3.997869,2.19987,1.560094
2016-05-01,1.519119,2.061345,3.848269,3.130812
2016-06-01,1.262328,1.161805,1.903149,3.795389
2016-07-01,1.927292,0.2702153,0.9336976,1.870432
2016-08-01,0.3749872,0.09909391,0.4961052,1.768461
2016-09-01,0.1299392,0.2808707,0.5268528,1.352161
2016-10-01,0.2960022,0.02064991,0.183163,0.5934715
2016-11-01,0.09333286,0.002515937,0.122298,0.4143503
2016-12-01,1.390376,1.363349,0.6938557,0.7246543
2017-01-01,1.957848,0.813675,0.457637,0.2106414
2017-02-01,6.110208,3.050957,0.478884,0.2790818
2017-03-01,6.790692,4.338483,1.470663,1.171801
2017-04-01,4.731462,4.686552,3.834036,4.215544
2017-05-01,5.204402,3.291311,8.517228,8.947883
2017-06-01,3.79812,2.639951,6.550223,6.638983
2017-07-01,3.074844,5.521545,6.568802,4.611668
2017-08-01,0.754543,0.3055097,2.172187,2.560321
2017-09-01,0.363921,0.8644786,2.510623,4.413845
2017-10-01,0.1778056,0.5816848,0.5521492,1.234864
2017-11-01,0.06511386,0.02133157,0.1505843,0.4027973
2017-12-01,0.2211761,0.1902903,0.9223313,1.247802
2018-01-01,1.730227,1.383891,1.995803,0.7109597
2018-02-01,7.520085,7.127536,4.029763,2.101874
2018-03-01,3.322626,3.67872,2.572651,1.526697
2018-04-01,9.658967,9.032343,6.449129,3.796495
2018-05-01,8.723919,1.983177,2.63558,3.240837
2018-06-01,2.261455,1.369389,1.170802,3.737006
2018-07-01,2.584863,1.724736,1.414462,2.211979
2018-08-01,0.5373501,0.149673,0.4379326,1.19077
2018-09-01,0.1671634,0.07651591,0.676927,0.8105284
2018-10-01,0.06985819,0.01864987,0.08452021,0.5724045
2018-11-01,1.329289,0.2386978,0.8067515,1.347283
2018-12-01,2.53173,1.252106,1.710062,1.187504
2019-01-01,3.108981,2.634013,1.84413,0.715816
2019-02-01,6.432923,4.879827,2.146425,0.7390633
2019-03-01,12.4219,7.580719,4.561865,4.45284
2019-04-01,10.27167,5.52162,2.124311,1.95863
2019-05-01,6.099267,3.322372,1.662601,2.514618
2019-06-01,2.649508,3.898329,4.867872,6.137178
2019-07-01,0.8214203,2.861855,3.67922,5.837172
2019-08-01,0.2283928,0.8414104,2.729864,2.83776
2019-09-01,0.1603534,0.6015445,1.191516,1.86569
2019-10-01,0.1480489,0.2147073,0.3346035,0.8756517
2019-11-01,0.1207876,0.007436996,0.04775887,0.5261909
2019-12-01,1.327633,0.1688872,0.6695893,0.7306116
